experiment,target,model,family,high_error_detection_AUROC,finite_violation_rate,positive_violation_rate,extra_finite_violation_rate,extra_positive_violation_rate,derivative_sign_violation_rate,sensitivity_median,sensitivity_p95,extrapolation_stability_index,physics_violation_rate
sparse_20,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.4692801349517768,0.0,0.0,0.0,0.0,0.0,0.007786306586616483,0.04639785111625647,2.9490768500135314,0.0
sparse_20,DelP_Pa,certified_symbolic,symbolic,0.4692801349517768,0.0,0.0,0.0,0.0,0.0,0.007786306586616483,0.04639785111625647,2.9490768500135314,0.0
sparse_20,DelP_Pa,random_forest,black_box,0.7352854890168323,0.0,0.0,0.0,0.0,0.0,0.0,0.003112593804870366,3.4280814865319242,0.0
sparse_20,DelP_Pa,xgboost_hist,black_box,0.5315266419744031,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,1.983232641458296,0.000390625
sparse_40,DelP_Pa,ordinary_power_law,symbolic,0.3234955443910667,0.0,0.0,0.0,0.0,0.0,0.008365892464748174,0.04768038334857749,3.0340131893487503,0.0
sparse_40,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.45669074773552387,0.0,0.0,0.0,0.0,0.0,0.007816365032633115,0.04695710428713777,3.290611094369409,0.0
sparse_40,DelP_Pa,certified_symbolic,symbolic,0.45669074773552387,0.0,0.0,0.0,0.0,0.0,0.007816365032633115,0.04695710428713777,3.290611094369409,0.0
sparse_40,DelP_Pa,random_forest,black_box,0.7182808317136675,0.0,0.0,0.0,0.0,0.0,0.0,0.0021139581996717583,3.6759065417647063,0.0
sparse_40,DelP_Pa,xgboost_hist,black_box,0.45266786460816316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816500862263787,0.0
sparse_60,DelP_Pa,ordinary_power_law,symbolic,0.3240529539037002,0.0,0.0,0.0,0.0,0.0,0.00848955268643111,0.047485647276230676,3.092887172540128,0.0
sparse_60,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.41309912354688477,0.0,0.0,0.0,0.0,0.0,0.007859634394627163,0.04676225152377035,3.16002936244505,0.0
sparse_60,DelP_Pa,certified_symbolic,symbolic,0.41309912354688477,0.0,0.0,0.0,0.0,0.0,0.007859634394627163,0.04676225152377035,3.16002936244505,0.0
sparse_60,DelP_Pa,random_forest,black_box,0.7034801422861126,0.0,0.0,0.0,0.0,0.0,0.0,0.0013055113762568723,3.6006371526146186,0.0
sparse_60,DelP_Pa,xgboost_hist,black_box,0.428534233011845,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,1.9555810417612192,0.000390625
sparse_80,DelP_Pa,ordinary_power_law,symbolic,0.33553852359822506,0.0,0.0,0.0,0.0,0.0,0.008398931444592169,0.047264854462991265,3.0443070540583443,0.0
sparse_80,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.4132128057501192,0.0,0.0,0.0,0.0,0.0,0.007860926669660227,0.047365907776715815,3.2351154130057727,0.0
sparse_80,DelP_Pa,certified_symbolic,symbolic,0.4132128057501192,0.0,0.0,0.0,0.0,0.0,0.007860926669660227,0.047365907776715815,3.2351154130057727,0.0
sparse_80,DelP_Pa,random_forest,black_box,0.713370493967509,0.0,0.0,0.0,0.0,0.0,0.0,0.0019947220575019706,3.6626397188370285,0.0
sparse_80,DelP_Pa,xgboost_hist,black_box,0.5076497121273241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0130141643363477,0.0
noise_1,DelP_Pa,ordinary_power_law,symbolic,0.2933257545197844,0.0,0.0,0.0,0.0,0.0,0.008453243786645644,0.04774697783339657,3.075359424130794,0.0
noise_1,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.4105614433972643,0.0,0.0,0.0,0.0,0.0,0.007893151015234558,0.047121847995591035,3.1690011959941873,0.0
noise_1,DelP_Pa,certified_symbolic,symbolic,0.4105614433972643,0.0,0.0,0.0,0.0,0.0,0.007893151015234558,0.047121847995591035,3.1690011959941873,0.0
noise_1,DelP_Pa,random_forest,black_box,0.5387656313029447,0.0,0.0,0.0,0.0,0.0,0.0,0.0027287318271894657,3.6535294705516295,0.0
noise_1,DelP_Pa,xgboost_hist,black_box,0.5495471047709853,0.0,0.0,0.0,0.01171875,0.0,0.0,0.0,1.973556351469029,0.00234375
noise_3,DelP_Pa,ordinary_power_law,symbolic,0.2983681103084088,0.0,0.0,0.0,0.0,0.0,0.00846314252431373,0.04774641591222481,3.0978433911749486,0.0
noise_3,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.40621218233158535,0.0,0.0,0.0,0.0,0.0,0.007889934580222913,0.04711137999367903,3.1830393387676965,0.0
noise_3,DelP_Pa,certified_symbolic,symbolic,0.40621218233158535,0.0,0.0,0.0,0.0,0.0,0.007889934580222913,0.04711137999367903,3.1830393387676965,0.0
noise_3,DelP_Pa,random_forest,black_box,0.5174813891231802,0.0,0.0,0.0,0.0,0.0,0.0,0.012881948836373064,3.635644425238397,0.0
noise_3,DelP_Pa,xgboost_hist,black_box,0.5212182331585318,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,1.9637849298044665,0.0015625
noise_5,DelP_Pa,ordinary_power_law,symbolic,0.2937144743114893,0.0,0.0,0.0,0.0,0.0,0.008450829984040183,0.047744753892230284,3.078484156147847,0.0
noise_5,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.4084234845428875,0.0,0.0,0.0,0.0,0.0,0.00789843733237841,0.04718362694846755,3.1804350367325056,0.0
noise_5,DelP_Pa,certified_symbolic,symbolic,0.4084234845428875,0.0,0.0,0.0,0.0,0.0,0.00789843733237841,0.04718362694846755,3.1804350367325056,0.0
noise_5,DelP_Pa,random_forest,black_box,0.525384135831897,0.0,0.0,0.0,0.0,0.0,0.0,0.010869872174457505,3.630028551449855,0.0
noise_5,DelP_Pa,xgboost_hist,black_box,0.5172833620594814,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,1.973821848907506,0.00078125
