experiment,target,model,family,MAE,RMSE,MAPE,R2,complexity,physics_violation_rate,sensitivity_p95,extrapolation_stability_index,high_error_detection_AUROC,gpu_requested,gpu_used,expression,notes
noise_1,Nuavg,ordinary_power_law,symbolic,1.2487178182604233,2.461087810315367,6.388706342208709,0.9322208636289979,8.0,0.0,0.01499188406423649,2.2205843298599035,0.5705746452015109,False,False,Nuavg = 2.3456209 Re^{0.283914} Pr^{0.301882} Da^{-0.00539812} porosity^{0.00229049} thickness^{0.154656} exp(-0.132063amplitude) exp(-0.00415062wavelength),Log-linear ordinary least-squares power-law correlation.
noise_1,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6705926195270281,1.550613145958713,2.91731358220117,0.9730940249459945,14.0,0.0,0.014994764281179785,2.70919918193677,0.666562763577689,False,False,Nuavg = exp(1.43809 + 5.82193e-06 Re + 0.0437987 log(Re) + 0.0213883 sqrt(Re) + 0.00210321 Pr + 0.0102777 sqrt(Pr) - 0.000782946 log(Da) - 1.49326 sqrt(Da) + 0.878341 thickness - 0.128448 amplitude - 0.00342824 wavelength + 0.0504174 log(Re)log(Pr) + 0.000479034 log(Re)log(Da) - 0.000153858 log(Pr)log(Da)),"Sparse log-target model over raw, log, sqrt and log-product basis terms."
noise_1,Nuavg,certified_symbolic,symbolic,0.6705926195270281,1.550613145958713,2.91731358220117,0.9730940249459945,14.0,0.0,0.014994764281179785,2.70919918193677,0.666562763577689,False,False,Nuavg = exp(1.43809 + 5.82193e-06 Re + 0.0437987 log(Re) + 0.0213883 sqrt(Re) + 0.00210321 Pr + 0.0102777 sqrt(Pr) - 0.000782946 log(Da) - 1.49326 sqrt(Da) + 0.878341 thickness - 0.128448 amplitude - 0.00342824 wavelength + 0.0504174 log(Re)log(Pr) + 0.000479034 log(Re)log(Da) - 0.000153858 log(Pr)log(Da)),"Reliability-aware selection of complexity_penalized_symbolic_lasso: Sparse log-target model over raw, log, sqrt and log-product basis terms."
noise_1,Nuavg,random_forest,black_box,0.11441995269016367,0.20755431534659924,0.5996565461098468,0.9995179352820334,1863308.0,0.0,0.0040314674347740566,2.775793100764395,0.6120613150463897,False,False,Nuavg = RandomForestRegressor(...),Accuracy reference; not a publishable explicit correlation.
noise_1,Nuavg,xgboost_hist,black_box,0.24241140874999206,0.4758807423187648,1.173680290071074,0.9974658164188964,300.0,0.0,0.0,1.9926155416763753,0.6813011111518574,True,True,Nuavg = XGBRegressor(...),XGBoost baseline requested CUDA device on the RTX GPU.
noise_3,Nuavg,ordinary_power_law,symbolic,1.2457889660029255,2.4490286244281925,6.389735765615996,0.9328834638746103,8.0,0.0,0.014986423022641613,2.22957954763755,0.5667314532986176,False,False,Nuavg = 2.3537022 Re^{0.284217} Pr^{0.302645} Da^{-0.00523427} porosity^{0.0111098} thickness^{0.155834} exp(-0.12188amplitude) exp(-0.00488734wavelength),Log-linear ordinary least-squares power-law correlation.
noise_3,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6721654779043362,1.5407578411577167,2.9454551665714717,0.9734349532038961,15.0,0.0,0.014980405981803769,2.721352222602451,0.6648025230114781,False,False,Nuavg = exp(1.42581 + 6.42194e-05 Re + 0.053045 log(Re) + 0.0180591 sqrt(Re) + 0.00201611 Pr + 0.00974292 sqrt(Pr) - 9.33961e-05 log(Da) - 1.5294 sqrt(Da) + 0.00129342 porosity + 0.884133 thickness - 0.118532 amplitude - 0.0041552 wavelength + 0.0508154 log(Re)log(Pr) + 0.000461619 log(Re)log(Da) - 0.000269814 log(Pr)log(Da)),"Sparse log-target model over raw, log, sqrt and log-product basis terms."
noise_3,Nuavg,certified_symbolic,symbolic,0.6721654779043362,1.5407578411577167,2.9454551665714717,0.9734349532038961,15.0,0.0,0.014980405981803769,2.721352222602451,0.6648025230114781,False,False,Nuavg = exp(1.42581 + 6.42194e-05 Re + 0.053045 log(Re) + 0.0180591 sqrt(Re) + 0.00201611 Pr + 0.00974292 sqrt(Pr) - 9.33961e-05 log(Da) - 1.5294 sqrt(Da) + 0.00129342 porosity + 0.884133 thickness - 0.118532 amplitude - 0.0041552 wavelength + 0.0508154 log(Re)log(Pr) + 0.000461619 log(Re)log(Da) - 0.000269814 log(Pr)log(Da)),"Reliability-aware selection of complexity_penalized_symbolic_lasso: Sparse log-target model over raw, log, sqrt and log-product basis terms."
noise_3,Nuavg,random_forest,black_box,0.27690366327476723,0.4185432975731835,1.526034346348362,0.9980396997495482,1863320.0,0.0,0.006211520390441745,2.8184166026525994,0.5937181414793354,False,False,Nuavg = RandomForestRegressor(...),Accuracy reference; not a publishable explicit correlation.
noise_3,Nuavg,xgboost_hist,black_box,0.25059741645531647,0.4840365506685268,1.2244801533391256,0.9973782086461129,300.0,0.0,0.0,1.9913980017871458,0.6685063625362132,True,True,Nuavg = XGBRegressor(...),XGBoost baseline requested CUDA device on the RTX GPU.
